id,name,position,team
8439,Aaron Rodgers,[u'QB'],GB
11237,Matt Ryan,[u'QB'],Atl
2580,Drew Brees,[u'QB'],NO
17442,David Johnson,[u'RB'],Ari
14874,Andrew Luck,[u'QB'],Ind
14880,Kirk Cousins,[u'QB'],Wsh
17797,Ezekiel Elliott,[u'RB'],Dal
17907,Dak Prescott,[u'QB'],Dal
12483,Matthew Stafford,[u'QB'],Det
16724,Blake Bortles,[u'QB'],Jax
14163,Tyrod Taylor,[u'QB'],Buf
14881,Russell Wilson,[u'QB'],Sea
16757,Derek Carr,[u'QB'],Oak
14012,Andy Dalton,[u'QB'],Cin
17610,Marcus Mariota,[u'QB'],Ten
5529,Philip Rivers,[u'QB'],LAC
2330,Tom Brady,[u'QB'],NE
17399,Jameis Winston,[u'QB'],TB
13994,Cam Newton,[u'QB'],Car
5536,Ben Roethlisberger,[u'QB'],Pit
12514,LeSean McCoy,[u'RB'],Buf
11252,Joe Flacco,[u'QB'],Bal
15825,Le'Veon Bell,[u'RB'],Pit
4459,Carson Palmer,[u'QB'],Ari
14005,DeMarco Murray,[u'RB'],Ten
17929,Tyreek Hill,[u'WR'],KC
16944,Devonta Freeman,[u'RB'],Atl
13213,LeGarrette Blount,[u'RB'],Phi
8416,Alex Smith,[u'QB'],KC
5526,Eli Manning,[u'QB'],NYG
13197,Sam Bradford,[u'QB'],Min
13934,Antonio Brown,[u'WR'],Pit
17795,Carson Wentz,[u'QB'],Phi
17586,Melvin Gordon,[u'RB'],LAC
16737,Mike Evans,[u'WR'],TB
11270,Jordy Nelson,[u'WR'],GB
17919,Jordan Howard,[u'RB'],Chi
16733,Odell Beckham Jr.,[u'WR'],NYG
14001,Colin Kaepernick,[u'QB'],SF
13981,Mark Ingram,[u'RB'],NO
17455,Trevor Siemian,[u'QB'],Den
14876,Ryan Tannehill,[u'QB'],Mia
17556,Jay Ajayi,[u'RB'],Mia
14924,T.Y. Hilton,[u'WR'],Ind
4333,Matt Bryant,[u'K'],Atl
13982,Julio Jones,[u'WR'],Atl
8479,Frank Gore,[u'RB'],Ind
15920,Latavius Murray,[u'RB'],Min
16800,Davante Adams,[u'WR'],GB
15683,Justin Tucker,[u'K'],Bal
17692,Landon Collins,[u'S'],NYG
16731,Brandin Cooks,[u'WR'],NE
14879,Brock Osweiler,[u'QB'],Cle
17834,Michael Thomas,[u'WR'],NO
17133,Isaiah Crowell,[u'RB'],Cle
16777,Carlos Hyde,[u'RB'],SF
17600,Jamison Crowder,[u'WR'],Wsh
14886,Lamar Miller,[u'RB'],Hou
17679,Kwon Alexander,[u'LB'],TB
16020,Spencer Ware,[u'RB'],KC
17689,Tevin Coleman,[u'RB'],Atl
14221,Doug Baldwin,[u'WR'],Sea
17683,Todd Gurley,[u'RB'],LAR
16790,Jarvis Landry,[u'WR'],Mia
16803,Jeremy Hill,[u'RB'],Cin
14979,Bobby Wagner,[u'LB'],Sea
14973,Zach Brown,[u'LB'],Wsh
11278,Matt Forte,[u'RB'],NYJ
1097,Adam Vinatieri,[u'K'],Ind
15918,Caleb Sturgis,[u'K'],Phi
15965,Dustin Hopkins,[u'K'],Wsh
17762,Tyrell Williams,[u'WR'],LAC
18104,Wil Lutz,[u'K'],NO
12563,Michael Crabtree,[u'WR'],Oak
17677,Amari Cooper,[u'WR'],Oak
12649,Julian Edelman,[u'WR'],NE
2148,Sebastian Janikowski,[u'K'],Oak
10453,Ted Ginn Jr.,[u'WR'],NO
14322,Dan Bailey,[u'K'],Dal
15102,Rishard Matthews,[u'WR'],Ten
16787,Marqise Lee,[u'WR'],Jax
9329,Nick Novak,[u'K'],Hou
11122,Matt Prater,[u'K'],Det
12460,Graham Gano,[u'K'],Car
15806,Alec Ogletree,[u'LB'],LAR
14129,Bilal Powell,[u'RB'],NYJ
17438,Jason Myers,[u'K'],Jax
17171,Brandon McManus,[u'K'],Den
16710,Khalil Mack,"[u'DE', u'EDR']",Oak
14851,Terrelle Pryor Sr.,[u'WR'],Wsh
11247,Jonathan Stewart,[u'RB'],Car
13216,Demaryius Thomas,[u'WR'],Den
18079,Jalen Richard,[u'RB'],Oak
15847,Travis Kelce,[u'TE'],KC
16783,Terrance West,[u'RB'],Bal
17619,Tyler Lockett,[u'WR'],Sea
13976,Von Miller,"[u'LB', u'EDR']",Den
