overall,team_x,name,position_x,school,id,position_y,team_y
1,Cleveland Browns,Baker Mayfield,QB,Oklahoma,18565.0,[u'QB'],Cle
2,New York Giants,Saquon Barkley,RB,Penn State,18567.0,[u'RB'],NYG
3,New York Jets,Sam Darnold,QB,USC,18566.0,[u'QB'],NYJ
4,Cleveland Browns,Denzel Ward,CB,Ohio State,18568.0,[u'CB'],Cle
5,Denver Broncos,Bradley Chubb,DE,NC State,18569.0,"[u'LB', u'EDR']",Den
7,Buffalo Bills,Josh Allen,QB,Wyoming,18570.0,[u'QB'],Buf
8,Chicago Bears,Roquan Smith,LB,Georgia,18571.0,[u'LB'],Chi
10,Arizona Cardinals,Josh Rosen,QB,UCLA,18572.0,[u'QB'],Ari
11,Miami Dolphins,Minkah Fitzpatrick,S,Alabama,18573.0,[u'S'],Mia
12,Tampa Bay Buccaneers,Vita Vea,DT,Washington,18574.0,[u'DT'],TB
13,Washington Redskins,Daron Payne,DT,Alabama,18575.0,[u'DT'],Wsh
14,New Orleans Saints,Marcus Davenport,DE,UTSA,18576.0,"[u'DE', u'EDR']",NO
16,Buffalo Bills,Tremaine Edmunds,LB,Virginia Tech,18577.0,[u'LB'],Buf
17,Los Angeles Chargers,Derwin James,S,Florida State,18578.0,[u'S'],LAC
18,Green Bay Packers,Jaire Alexander,CB,Louisville,18579.0,[u'CB'],GB
19,Dallas Cowboys,Leighton Vander Esch,LB,Boise State,18580.0,[u'LB'],Dal
22,Tennessee Titans,Rashaan Evans,LB,Alabama,18581.0,[u'LB'],Ten
24,Carolina Panthers,DJ Moore,WR,Maryland,18582.0,[u'WR'],Car
25,Baltimore Ravens,Hayden Hurst,TE,South Carolina,18583.0,[u'TE'],Bal
26,Atlanta Falcons,Calvin Ridley,WR,Alabama,18584.0,[u'WR'],Atl
27,Seattle Seahawks,Rashaad Penny,RB,San Diego State,18585.0,[u'RB'],Sea
28,Pittsburgh Steelers,Terrell Edmunds,S,Virginia Tech,18586.0,[u'S'],Pit
29,Jacksonville Jaguars,Taven Bryan,DT,Florida,18587.0,[u'DT'],Jax
30,Minnesota Vikings,Mike Hughes,CB,UCF,18588.0,[u'CB'],Min
31,New England Patriots,Sony Michel,RB,Georgia,18589.0,[u'RB'],NE
32,Baltimore Ravens,Lamar Jackson,QB,Louisville,18590.0,[u'QB'],Bal
35,Cleveland Browns,Nick Chubb,RB,Georgia,18592.0,[u'RB'],Cle
36,Indianapolis Colts,Darius Leonard,LB,South Carolina State,18593.0,[u'LB'],Ind
38,Tampa Bay Buccaneers,Ronald Jones,RB,USC,18597.0,[u'RB'],TB
40,Denver Broncos,Courtland Sutton,WR,SMU,18599.0,[u'WR'],Den
41,Tennessee Titans,Harold Landry,LB,Boston College,18600.0,"[u'LB', u'EDR']",Ten
42,Miami Dolphins,Mike Gesicki,TE,Penn State,18601.0,[u'TE'],Mia
43,Detroit Lions,Kerryon Johnson,RB,Auburn,18602.0,[u'RB'],Det
44,San Francisco 49ers,Dante Pettis,WR,Washington,18603.0,[u'WR'],SF
45,Green Bay Packers,Josh Jackson,CB,Iowa,18604.0,[u'CB'],GB
46,Kansas City Chiefs,Breeland Speaks,DE,Ole Miss,18605.0,"[u'LB', u'EDR']",KC
47,Arizona Cardinals,Christian Kirk,WR,Texas A&M,18606.0,[u'WR'],Ari
48,Los Angeles Chargers,Uchenna Nwosu,LB,USC,18607.0,"[u'LB', u'EDR']",LAC
49,Philadelphia Eagles,Dallas Goedert,TE,South Dakota State,18608.0,[u'TE'],Phi
51,Chicago Bears,Anthony Miller,WR,Memphis,18610.0,[u'WR'],Chi
52,Indianapolis Colts,Kemoko Turay,DE,Rutgers,18611.0,"[u'DE', u'EDR']",Ind
53,Tampa Bay Buccaneers,M.J. Stewart,CB,North Carolina,18612.0,[u'CB'],TB
54,Cincinnati Bengals,Jessie Bates,S,Wake Forest,18613.0,[u'S'],Cin
55,Carolina Panthers,Donte Jackson,CB,LSU,18614.0,[u'CB'],Car
