end,id,name,owner,position,salary,start
2016,13983,A.J. Green,John/Zach,WR,180,2014
2016,16716,Aaron Donald,,DL,,FA
2018,8439,Aaron Rodgers,Syed/Terence,QB,270,2016
2016,17756,Adam Humphries,Syed/Terence,WR,1,FA
2017,8421,Adam Jones,Patrick,DB,10,2015
2016,17178,Adam Thielen,Syed/Terence,WR,1,FA
2016,1097,Adam Vinatieri,Daniel,K,2,2016
2016,13965,Adrian Clayborn,,DL,,FA
2016,10452,Adrian Peterson,John/Zach,RB,5,FA
2018,16810,AJ McCarron,Koci/Mueller,QB,1,2016
2016,14984,Akiem Hicks,Trevor,DL,1,FA
2016,15806,Alec Ogletree,Mitch,LB,5,2014
2016,17933,Alex Collins,Quinn,RB,1,FA
2016,15976,Alex Okafor,,DL,,FA
2016,8416,Alex Smith,John/Zach,QB,40,2014
2016,17134,Alfred Blue,Daniel,RB,3,2014
2017,15009,Alfred Morris,Brett/Luke,RB,25,2016
2017,17163,Allen Hurns,Koci/Mueller,WR,1,2015
2016,16799,Allen Robinson,Keyon,WR,5,2014
2016,14912,Alshon Jeffery,Koci/Mueller,WR,160,2016
2017,17677,Amari Cooper,Schex/Jeff,WR,17,2015
2017,17580,Ameer Abdullah,Quinn,RB,27,2015
2016,15893,Andre Ellington,Daniel,RB,3,FA
2016,4461,Andre Johnson,,WR,,FA
2016,13226,Andre Roberts,Quinn,WR,1,FA
2016,16889,Andre Williams,,RB,,FA
2016,13958,Andrew Hawkins,Quinn,WR,1,FA
2017,14874,Andrew Luck,Mitch,QB,240,2016
2017,14012,Andy Dalton,Koci/Mueller,QB,68,2015
2016,17937,Andy Janovich,,RB,,FA
2016,4512,Anquan Boldin,Patrick,WR,5,2016
2016,16711,Anthony Barr,,LB,,FA
2017,9793,Antoine Bethea,John/Zach,DB,1,2015
2016,13158,Antone Smith,,RB,,FA
2016,13934,Antonio Brown,Schex/Jeff,WR,310,2016
2016,5362,Antonio Gates,Keyon,TE,6,2016
2016,12497,Arian Foster,,RB,,FA
2018,17861,Austin Hooper,Trevor,TE,4,2016
2016,16795,Austin Seferian-Jenkins,,TE,,FA
2016,17254,Avery Williamson,,LB,,FA
2018,13338,Barry Church,James,DB,5,2016
2016,17229,Bashaud Breeland,Quinn,DB,1,FA
2016,5536,Ben Roethlisberger,Brett/Luke,QB,235,2016
2016,17623,Benardrick McKinney,Syed/Terence,LB,5,FA
2017,16055,Benjamin Cunningham,John/Zach,RB,1,2015
2016,5557,Benjamin Watson,,TE,,FA
2017,14129,Bilal Powell,Trevor,RB,15,2016
2016,16794,Bishop Sankey,,RB,,FA
2016,13987,Blaine Gabbert,Quinn,QB,1,FA
2016,15058,Blair Walsh,,K,,FA
2016,16724,Blake Bortles,John/Zach,QB,19,2014
2016,15501,Bobby Rainey,,RB,,FA
2016,14979,Bobby Wagner,Syed/Terence,LB,20,2016
2016,16269,Bradley McDougald,Mitch,DB,1,FA
2016,17143,Branden Oliver,,RB,,FA
2016,16731,Brandin Cooks,Syed/Terence,WR,19,2014
2016,15478,Brandon Bolden,,RB,,FA
2016,17145,Brandon Coleman,,WR,,FA
2016,13239,Brandon Graham,Koci/Mueller,DL,1,FA
2016,12576,Brandon LaFell,Mitch,WR,5,2016
2017,15002,Brandon Marshall (DEN),Trevor,LB,3,2015
2016,9705,Brandon Marshall (NYJ),Trevor,WR,67,2015
2018,17171,Brandon McManus,Trevor,K,2,2016
2016,12597,Brandon Tate,Quinn,WR,2,FA
2018,17864,Braxton Miller,Brett/Luke,WR,5,2016
2018,17674,Breshad Perriman,Patrick,WR,3,2016
2016,12477,Brian Hoyer,James,QB,1,FA
2016,12439,Brian Orakpo,,LB,,FA
2016,14914,Brian Quick,James,WR,1,FA
2016,14879,Brock Osweiler,Syed/Terence,QB,1,2014
2016,16946,Bruce Ellington,,WR,,FA
2016,17434,Bryce Petty,Keyon,QB,18,FA
2016,17479,Byron Jones,Syed/Terence,DB,2,FA
2016,16040,C.J. Anderson,Daniel,RB,3,2014
2016,16766,C.J. Fiedorowicz,Koci/Mueller,TE,3,FA
2016,16720,C.J. Mosley (BAL),Brett/Luke,LB,1,2014
2018,17869,C.J. Prosise,Trevor,RB,13,2016
2016,13203,C.J. Spiller,Trevor,RB,1,2016
2016,17564,C.J. Uzomah,,TE,,FA
2016,17172,Cairo Santos,James,K,1,FA
2016,11284,Calais Campbell,Syed/Terence,DL,2,FA
2016,15918,Caleb Sturgis,Schex/Jeff,K,1,FA
2018,13994,Cam Newton,James,QB,341,2016
2018,17704,Cameron Artis-Payne,Schex/Jeff,RB,4,2016
2016,17784,Cameron Brate,Keyon,TE,8,FA
2016,13971,Cameron Jordan,,DL,,FA
2016,17750,Cameron Meredith,Keyon,WR,9,FA
2016,12417,Cameron Wake,Trevor,DL,1,FA
2016,17911,Cardale Jones,Brett/Luke,QB,2,2016
2016,13274,Carlos Dunlap,Daniel,DL,4,2016
2016,16777,Carlos Hyde,Keyon,RB,24,2014
2016,4459,Carson Palmer,John/Zach,QB,42,2014
2018,17795,Carson Wentz,Quinn,QB,8,2016
2016,15168,Case Keenum,James,QB,6,2016
2016,14966,Casey Hayward,Daniel,DB,1,FA
2018,17169,Chandler Catanzaro,John/Zach,K,3,2016
2017,14927,Chandler Jones,Patrick,DL,11,2015
2016,17384,Charcandrick West,,RB,,FA
2016,14145,Charles Clay,James,TE,1,FA
2016,15885,Charles Johnson (MIN),,WR,,FA
2016,16749,Charles Sims,Patrick,RB,1,FA
2018,17994,Charone Peake,Quinn,WR,1,2016
2016,12471,Chase Daniel,,QB,,FA
2016,18089,Chester Rogers,,WR,,FA
2016,17175,Chris Boswell,Trevor,K,2,2016
2017,17638,Chris Conley,Trevor,WR,5,2015
2016,14402,Chris Hogan,Mitch,WR,5,FA
2016,13587,Chris Ivory,Trevor,RB,43,2016
2016,11258,Chris Johnson,,RB,,FA
2018,17883,Chris Moore,Mitch,WR,2,2016
2018,15966,Chris Thompson,Koci/Mueller,RB,5,2016
2018,17836,Christian Hackenberg,Trevor,QB,4,2016
2016,16767,Christian Kirksey,Mitch,LB,5,FA
2016,15855,Christine Michael,Mitch,RB,25,2016
2016,11326,Cliff Avril,Quinn,DL,2,2016
2016,17475,Clive Walford,,TE,,FA
2018,14900,Coby Fleener,Quinn,TE,30,2016
2018,17872,Cody Kessler,Patrick,QB,8,2016
2016,16793,Cody Latimer,,WR,,FA
2018,15349,Cole Beasley,Patrick,WR,1,2016
2016,14001,Colin Kaepernick,Quinn,QB,16,2016
2018,13199,Colt McCoy,Patrick,QB,1,2016
2016,12449,Connor Barwin,James,DL,1,FA
2018,17877,Connor Cook,Daniel,QB,1,2016
2016,15807,Cordarrelle Patterson,Mitch,WR,8,FA
2018,17805,Corey Coleman,Quinn,WR,17,2016
2016,10611,Corey Graham,,DB,,FA
2016,17954,Cory James,,LB,,FA
2016,14860,Craig Robertson,Schex/Jeff,LB,1,FA
2016,16775,Crockett Gillmore,Quinn,TE,1,FA
2016,18043,D.J. Foster,,RB,,FA
2016,9620,D'Qwell Jackson,,LB,,FA
2018,17907,Dak Prescott,Syed/Terence,QB,16,2016
2016,17708,Damarious Randall,,DB,,FA
2016,17138,Damien Williams,Schex/Jeff,RB,8,FA
2016,15380,Damon Harrison,,DL,,FA
2016,14322,Dan Bailey,Brett/Luke,K,3,2016
2016,11688,Dan Carpenter,,K,,FA
2016,17680,Danielle Hunter,James,DL,1,FA
2018,11674,Danny Amendola,Patrick,WR,5,2016
2016,15074,Danny Trevathan,,LB,,FA
2017,11788,Danny Woodhead,John/Zach,RB,3,2015
2018,11238,Darren McFadden,Koci/Mueller,RB,3,2016
2016,8544,Darren Sproles,Patrick,RB,25,2016
2016,17808,Darron Lee,Trevor,LB,1,2016
2016,5564,Daryl Smith,James,LB,1,FA
2016,16800,Davante Adams,Trevor,WR,5,2014
2016,15820,David Amerson,Daniel,DB,1,FA
2016,10491,David Harris,,LB,,FA
2017,17442,David Johnson,Syed/Terence,RB,14,2015
2018,15795,DeAndre Hopkins,Syed/Terence,WR,270,2016
2016,12682,DeAndre Levy,,LB,,FA
2016,17718,DeAndre Smelter,,WR,,FA
2018,17915,DeAndre Washington,Mitch,RB,25,2016
2016,9613,DeAngelo Williams,Trevor,RB,50,2016
2016,16707,Dee Ford,,LB,,FA
2018,17837,Deion Jones,Keyon,LB,1,2016
2016,9761,Delanie Walker,Quinn,TE,30,2016
2017,14005,DeMarco Murray,Brett/Luke,RB,120,2016
2018,13216,Demaryius Thomas,James,WR,97,2016
2016,13231,Dennis Pitta,,TE,,FA
2018,16723,Deone Bucannon,John/Zach,LB,10,2016
2016,8627,Derek Anderson,,QB,,FA
2016,16757,Derek Carr,James,QB,5,2014
2016,14964,Derek Wolfe,,DL,,FA
2018,17832,Derrick Henry,James,RB,25,2016
2016,8430,Derrick Johnson,Quinn,LB,15,2016
2016,13248,Derrick Morgan,,DL,,FA
2016,11283,DeSean Jackson,Patrick,WR,45,2016
2016,15419,DeShawn Shead,Patrick,DB,1,FA
2017,17593,DeVante Parker,Brett/Luke,WR,9,2015
2017,17682,Devin Funchess,Keyon,WR,9,2015
2016,17584,Devin Smith,,WR,,FA
2016,16944,Devonta Freeman,John/Zach,RB,241,2016
2018,17908,Devontae Booker,Daniel,RB,13,2016
2016,13207,Dexter McCluster,,RB,,FA
2016,13215,Dez Bryant,James,WR,200,2016
2016,14198,Dion Lewis,Syed/Terence,RB,95,2016
2016,18109,Don Xzaviar Jackson,Mitch,RB,1,FA
2016,14933,Dont'a Hightower,,LB,,FA
2016,16791,Donte Moncrief,Daniel,WR,5,2014
2016,17136,Dontrelle Inman,Daniel,WR,5,FA
2016,17665,Dorial Green-Beckham,,WR,,FA
2017,14221,Doug Baldwin,Patrick,WR,10,2015
2017,14885,Doug Martin,Koci/Mueller,RB,45,2015
2016,2580,Drew Brees,Schex/Jeff,QB,265,2016
2016,10487,Drew Stanton,James,QB,1,FA
2016,14255,DuJuan Harris,,RB,,FA
2017,17658,Duke Johnson Jr.,Keyon,RB,14,2015
2016,15965,Dustin Hopkins,,K,,FA
2016,14901,Dwayne Allen,,TE,,FA
2016,14100,Dwayne Harris,,WR,,FA
2016,17989,Dwayne Washington,Schex/Jeff,RB,1,FA
2018,15848,Eddie Lacy,James,RB,150,2016
2016,11276,Eddie Royal,James,WR,2,FA
2018,15803,EJ Manuel,James,QB,3,2016
2016,5526,Eli Manning,Schex/Jeff,QB,115,2015
2016,18037,Eli Rogers,John/Zach,WR,1,FA
2018,17819,Emmanual Ogbah,Koci/Mueller,LB,1,2016
2016,13295,Emmanuel Sanders,Koci/Mueller,WR,35,2014
2017,13271,Eric Decker,Patrick,WR,30,2015
2016,16732,Eric Ebron,John/Zach,TE,14,2014
2016,17452,Eric Kendricks,Mitch,LB,1,2015
2018,10481,Eric Weddle,Koci/Mueller,DB,2,2016
2018,13373,Everson Griffen,Syed/Terence,DL,5,2016
2016,15785,Ezekiel Ansah,Brett/Luke,DL,1,2014
2018,17797,Ezekiel Elliott,Syed/Terence,RB,25,2016
2018,14941,Fletcher Cox,Schex/Jeff,DL,2,2016
2016,15755,Fozzy Whittaker,Mitch,RB,22,FA
2016,17576,Frank Clark,Brett/Luke,DL,1,2015
2016,8479,Frank Gore,John/Zach,RB,70,2016
2017,11364,Gary Barnidge,Brett/Luke,TE,25,2016
2016,15864,Geno Smith,,QB,,FA
2016,15826,Giovani Bernard,Daniel,RB,40,2016
2018,13217,Golden Tate,Keyon,WR,45,2016
2018,12460,Graham Gano,Koci/Mueller,K,1,2016
2016,10475,Greg Olsen,Schex/Jeff,TE,22,2014
2016,16735,Ha Ha Clinton-Dix,,DB,,FA
2016,14945,Harrison Smith,Syed/Terence,DB,8,2014
2018,17822,Hunter Henry,Keyon,TE,8,2016
2016,17133,Isaiah Crowell,Trevor,RB,2,2014
2016,17514,J.J. Nelson,Keyon,WR,1,FA
2016,13979,J.J. Watt,Koci/Mueller,DL,41,2014
2016,16792,Jace Amaro,Brett/Luke,TE,7,2014
2016,16504,Jack Doyle,James,TE,2,FA
2016,11373,Jacob Tamme,Patrick,TE,5,FA
2018,17870,Jacoby Brissett,Daniel,QB,2,2016
2016,14193,Jacquizz Rodgers,Schex/Jeff,RB,1,FA
2016,16734,Jadeveon Clowney,Mitch,DL/LB,2,2014
2016,17709,Jaelen Strong,,WR,,FA
2016,17504,Jake Ryan,Daniel,LB,1,FA
2018,17798,Jalen Ramsey,Trevor,DB,1,2016
2016,18079,Jalen Richard,James,RB,10,FA
2018,18077,Jalin Marshall,Brett/Luke,WR,1,2016
2016,11307,Jamaal Charles,Daniel,RB,208,2016
2017,17399,Jameis Winston,Mitch,QB,24,2015
2016,12454,James Laurinaitis,,LB,,FA
2016,13214,James Starks,Keyon,RB,2,2014
2016,16913,James White,Daniel,RB,24,FA
2018,15830,Jamie Collins,Schex/Jeff,LB,9,2016
2017,17600,Jamison Crowder,Schex/Jeff,WR,1,2015
2016,14974,Janoris Jenkins,Trevor,DB,1,FA
2018,12537,Jared Cook,Schex/Jeff,TE,4,2016
2018,17794,Jared Goff,Schex/Jeff,QB,32,2016
2016,16790,Jarvis Landry,Daniel,WR,3,2014
2016,12691,Jason McCourty,Daniel,DB,1,FA
2018,13256,Jason Pierre-Paul,John/Zach,DL,3,2016
2018,4527,Jason Witten,Patrick,TE,4,2016
2016,17936,Jatavis Brown,,LB,,FA
2016,17616,Javorius Allen,,RB,,FA
